id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_50_generate_frame","Generate_frame → _bcd_encode","Generate_frame → _bcd_encode","intra_community",3,"['comm_33']","Function:gdw_send_frame_lib.py:GDWFrameGenerator.generate_frame","Function:gdw_send_frame_lib.py:GDWFrameGenerator._bcd_encode"
"proc_51_test_push_frame","Test_push_frame → _add_field","Test_push_frame → _add_field","cross_community",3,"['comm_3','comm_4']","Function:test_push_frame.py:test_push_frame","Function:plc_rf_parser.py:PLCRFProtocolParser._add_field"
"proc_52_delete_custom_di","Delete_custom_di → _load_custom_di","Delete_custom_di → _load_custom_di","intra_community",3,"['comm_42']","Function:dlt645_di_lookup.py:DLT645DILookup.delete_custom_di","Function:dlt645_di_lookup.py:DLT645DILookup._load_custom_di"
"proc_53_delete_custom_di","Delete_custom_di → _rebuild_data_list","Delete_custom_di → _rebuild_data_list","intra_community",3,"['comm_42']","Function:dlt645_di_lookup.py:DLT645DILookup.delete_custom_di","Function:dlt645_di_lookup.py:DLT645DILookup._rebuild_data_list"
"proc_54_filter_table","Filter_table → _infer_object_type","Filter_table → _infer_object_type","intra_community",3,"['comm_25']","Function:lookup_pages_simple.py:filter_table","Function:lookup_pages_simple.py:_infer_object_type"
"proc_55_test_frame","Test_frame → _add_field","Test_frame → _add_field","intra_community",3,"['comm_4']","Function:test_plc_rf.py:test_frame","Function:plc_rf_parser.py:PLCRFProtocolParser._add_field"
"proc_56_set_protocol","Set_protocol → _clear_all","Set_protocol → _clear_all","intra_community",3,"['comm_22']","Function:preset_buttons.py:PresetButtonWidget.set_protocol","Function:preset_buttons.py:PresetButtonWidget._clear_all"
"proc_57_set_file_paths","Set_file_paths → _clear_all","Set_file_paths → _clear_all","intra_community",3,"['comm_22']","Function:preset_buttons.py:PresetButtonWidget.set_file_paths","Function:preset_buttons.py:PresetButtonWidget._clear_all"
"proc_58_refresh","Refresh → _clear_all","Refresh → _clear_all","intra_community",3,"['comm_22']","Function:preset_buttons.py:PresetButtonWidget.refresh","Function:preset_buttons.py:PresetButtonWidget._clear_all"
"proc_59_verify","Verify → _check_min_length","Verify → _check_min_length","intra_community",3,"['comm_23']","Function:plc_rf_parser.py:PLCRFProtocolParser.verify","Function:validator/base.py:BaseValidator._check_min_length"
"proc_60_verify","Verify → _check_start_char","Verify → _check_start_char","intra_community",3,"['comm_23']","Function:plc_rf_parser.py:PLCRFProtocolParser.verify","Function:validator/base.py:BaseValidator._check_start_char"
"proc_61_verify","Verify → _calc_crc16_ccitt","Verify → _calc_crc16_ccitt","intra_community",3,"['comm_23']","Function:plc_rf_parser.py:PLCRFProtocolParser.verify","Function:validator/base.py:BaseValidator._calc_crc16_ccitt"
"proc_62_on_search","On_search → _populate_di_table","On_search → _populate_di_table","intra_community",3,"['comm_29']","Function:lookup_pages.py:on_search","Function:lookup_pages.py:_populate_di_table"
"proc_63_verify","Verify → _check_min_length","Verify → _check_min_length","intra_community",3,"['comm_23']","Function:dlt645_parser.py:DLT645Parser.verify","Function:validator/base.py:BaseValidator._check_min_length"
"proc_64_verify","Verify → _check_start_char","Verify → _check_start_char","intra_community",3,"['comm_23']","Function:dlt645_parser.py:DLT645Parser.verify","Function:validator/base.py:BaseValidator._check_start_char"
"proc_65_verify","Verify → _check_end_char","Verify → _check_end_char","intra_community",3,"['comm_23']","Function:dlt645_parser.py:DLT645Parser.verify","Function:validator/base.py:BaseValidator._check_end_char"
"proc_66_add_custom_di","Add_custom_di → _load_custom_di","Add_custom_di → _load_custom_di","intra_community",3,"['comm_42']","Function:dlt645_di_lookup.py:DLT645DILookup.add_custom_di","Function:dlt645_di_lookup.py:DLT645DILookup._load_custom_di"
"proc_67_add_custom_di","Add_custom_di → _rebuild_data_list","Add_custom_di → _rebuild_data_list","intra_community",3,"['comm_42']","Function:dlt645_di_lookup.py:DLT645DILookup.add_custom_di","Function:dlt645_di_lookup.py:DLT645DILookup._rebuild_data_list"
"proc_68__on_frame_received","_on_frame_received → _get_frame_summary","_on_frame_received → _get_frame_summary","intra_community",3,"['comm_57']","Function:monitor/frame_monitor.py:FrameMonitorWidget._on_frame_received","Function:monitor/frame_monitor.py:FrameMonitorWidget._get_frame_summary"
"proc_69___init__","__init__ → _clear_all","__init__ → _clear_all","cross_community",3,"['comm_20','comm_22']","Function:preset_buttons.py:PresetButtonWidget.__init__","Function:preset_buttons.py:PresetButtonWidget._clear_all"
"proc_70___init__","__init__ → _load_custom_di","__init__ → _load_custom_di","intra_community",3,"['comm_42']","Function:dlt645_di_lookup.py:DLT645DILookup.__init__","Function:dlt645_di_lookup.py:DLT645DILookup._load_custom_di"
"proc_71___init__","__init__ → _rebuild_data_list","__init__ → _rebuild_data_list","intra_community",3,"['comm_42']","Function:dlt645_di_lookup.py:DLT645DILookup.__init__","Function:dlt645_di_lookup.py:DLT645DILookup._rebuild_data_list"
"proc_72__on_filter_changed","_on_filter_changed → _get_frame_summary","_on_filter_changed → _get_frame_summary","intra_community",3,"['comm_57']","Function:monitor/frame_monitor.py:FrameMonitorWidget._on_filter_changed","Function:monitor/frame_monitor.py:FrameMonitorWidget._get_frame_summary"
